Year,Life expectancy
1802,34.049999
1803,34.049999
1804,34.049999
1805,34.049999
1806,34.049999
1807,34.049999
1808,34.049999
1809,34.049999
1810,34.049999
1811,34.049999
1812,34.049999
1813,34.049999
1814,34.049999
1815,34.049999
1816,34.049999
1817,34.049999
1818,34.049999
1819,34.049999
1820,34.049999
1821,34.049999
1822,34.049999
1823,34.049999
1824,34.049999
1825,34.049999
1826,34.049999
1827,34.049999
1828,34.049999
1829,34.049999
1830,34.049999
1831,34.049999
1832,34.049999
1833,34.049999
1834,34.049999
1835,34.049999
1836,34.049999
1837,34.049999
1838,34.049999
1839,34.049999
1840,34.049999
1841,34.049999
1842,34.049999
1843,34.049999
1844,34.049999
1845,34.049999
1846,34.049999
1847,34.049999
1848,34.049999
1849,34.049999
1850,34.049999
1851,34.049999
1852,34.049999
1853,34.049999
1854,34.049999
1855,34.049999
1856,34.049999
1857,34.049999
1858,34.049999
1859,34.049999
1860,34.049999
1861,34.049999
1862,34.049999
1863,34.049999
1864,34.049999
1865,34.049999
1866,34.049999
1867,34.049999
1868,34.049999
1869,34.049999
1870,34.049999
1871,34.579216
1872,35.108433
1873,35.637646
1874,36.166862
1875,36.696079
1876,37.225296
1877,37.754509
1878,38.283726
1879,38.812943
1880,39.342155
1881,39.871372
1882,40.400589
1883,40.929806
1884,41.459019
1885,41.988235
1886,42.517452
1887,43.046665
1888,43.575882
1889,44.105099
1890,44.634315
1891,45.163528
1892,45.692745
1893,46.221962
1894,46.751175
1895,47.280392
1896,47.809608
1897,48.338825
1898,48.868038
1899,49.397255
1900,49.926472
1901,50.455685
1902,50.984901
1903,51.514118
1904,52.043335
1905,52.572548
1906,53.101765
1907,53.630981
1908,54.160194
1909,54.689411
1910,55.218628
1911,55.747845
1912,56.277058
1913,56.806274
1914,57.335491
1915,57.864704
1916,58.393921
1917,58.923138
1918,54.802391
1919,59.981567
1920,60.510784
1921,61.040001
1922,62.889999
1923,61.73
1924,62.529999
1925,63.220001
1926,62.939999
1927,62.91
1928,62.959999
1929,63.150002
1930,64.959999
1931,65.389999
1932,65.690002
1933,65.519997
1934,64.879997
1935,65.150002
1936,65.269997
1937,65.830002
1938,65.870003
1939,65.82
1940,66.260002
1941,66.139999
1942,65.879997
1943,66.400002
1944,68.029999
1945,68.459999
1946,67.980003
