Country,Measurement,Score,,,,,,,,,,,,,,,,,,,,,,Country,Measurement,Score
Afghanistan,Business Freedom,49.2,,,,,,,,,,,,,,,,,,,,,,Afghanistan,Business Freedom,49.2
Albania,Business Freedom,69.3,,,,,,,,,,,,,,,,,,,,,,Albania,Labor Freedom,60.4
Algeria,Business Freedom,61.6,,,,,,,,,,,,,,,,,,,,,,Algeria,Monetary Freedom,76.7
Angola,Business Freedom,55.7,,,,,,,,,,,,,,,,,,,,,,Angola,Trade Freedom,66
Argentina,Business Freedom,56.4,,,,,,,,,,,,,,,,,,,,,,Argentina,Business Freedom,
Armenia,Business Freedom,78.3,,,,,,,,,,,,,,,,,,,,,,Armenia,Labor Freedom,
Australia,Business Freedom,88.3,,,,,,,,,,,,,,,,,,,,,,Australia,Monetary Freedom,
Austria,Business Freedom,74.9,,,,,,,,,,,,,,,,,,,,,,Austria,Trade Freedom,
Azerbaijan,Business Freedom,69.5,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,Business Freedom,68.5,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,Business Freedom,71.4,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Business Freedom,50.9,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,Business Freedom,69.8,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,Business Freedom,75,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Business Freedom,78.1,,,,,,,,,,,,,,,,,,,,,,,,
Belize,Business Freedom,61.8,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Business Freedom,62.4,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,Business Freedom,68.7,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Business Freedom,58.8,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Business Freedom,49.7,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Business Freedom,68.7,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Business Freedom,57.9,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Business Freedom,62.7,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,Business Freedom,51.6,,,,,,,,,,,,,,,,,,,,,,,,
Burma,Business Freedom,52.8,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,Business Freedom,50.3,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,Business Freedom,29.9,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Business Freedom,44.4,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Business Freedom,81.9,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,Business Freedom,65.2,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,Business Freedom,24.2,,,,,,,,,,,,,,,,,,,,,,,,
Chad,Business Freedom,28.1,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Business Freedom,76.6,,,,,,,,,,,,,,,,,,,,,,,,
China,Business Freedom,56.2,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Business Freedom,71.4,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,Business Freedom,57.2,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic of the Congo",Business Freedom,53.2,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Republic of",Business Freedom,38.2,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Business Freedom,67.2,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,Business Freedom,61,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Business Freedom,60.7,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,Business Freedom,20,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Business Freedom,76.9,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Business Freedom,72.4,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Business Freedom,90.7,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,Business Freedom,54.7,,,,,,,,,,,,,,,,,,,,,,,,
